executed_at,directory,u_max_value,u_t_at_max,u_altitude_at_max,u_min_value,u_t_at_min,u_altitude_at_min,theta_max_value,theta_t_at_max,theta_altitude_at_max,theta_min_value,theta_t_at_min,theta_altitude_at_min
2025-05-17 22:46:45,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3/Mars/20250511T003123_SubCritical_num261_alp0-24_gamma4-02_dt0.1,12.09203408871974,19,869.3013810701641,-13.469259589815834,9,1475.3689214370222,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-17 22:47:22,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3/Mars/20250511T082400_Critical_num261_alp0-48_gamma4-02_dt0.1,36.06457525349397,18,1211.5346551921623,-33.066149074463915,8,1236.9960708135227,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-17 22:48:05,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3/Mars/20250511T095829_SuperCritical_num261_alp0-96_gamma4-02_dt0.1,40.2170493341716,15,1018.3444368413036,-24.974488108652565,7,462.129933254501,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-17 22:55:52,/home/okuno/2026M_okuno/slope_wind/calculation/numerical/output/results_v3/Mars/20250511T113223_SuperCritical_num261_alp30-0_gamma4-02_dt0.1,34.656670885826806,13,172.18265650419548,-28.471727530439097,5,30.503412715695664,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 00:27:18,output/results_v3/Mars/20250517T230456_SuperCritical_num261_alp0-6_gamma4-02_dt0.1,38.72604688440271,16,1229.541962936077,-28.249345412479435,6,346.78904512020733,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 02:18:46,output/results_v3/Mars/20250518T005644_SuperCritical_num261_alp0-72_gamma4-02_dt0.1,37.51434537587835,16,1099.1888290915465,-24.547688525599483,2,231.4720306619889,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 04:09:35,output/results_v3/Mars/20250518T024645_SubCritical_num261_alp0-36_gamma4-02_dt0.1,20.717096040496145,19,933.6514810226786,-22.34334323403409,9,1576.1769395242384,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 10:22:12,output/results_v3/Mars/20250518T085921_SubCritical_num261_alp0-12_gamma4-02_dt0.1,5.749663679463982,19,837.9194957328665,-6.532846838162378,9,1429.5665323473563,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 12:35:47,output/results_v3/Mars/20250518T111336_SuperCritical_num261_alp0-84_gamma4-02_dt0.1,38.4421920731382,15,1063.5986724843024,-22.976783277335795,7,470.59987426563646,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 14:42:59,output/results_v3/Mars/20250518T132107_SuperCritical_num261_alp1-2_gamma4-02_dt0.1,38.88565904737993,14,899.9601625184673,-26.91815222862861,7,449.2615882921659,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 16:41:19,output/results_v3/Mars/20250518T151740_SuperCritical_num261_alp2-0_gamma4-02_dt0.1,33.35743445482349,14,634.977018606636,-28.11478704281716,6,171.6815297250751,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 18:27:09,output/results_v3/Mars/20250518T170026_SuperCritical_num261_alp5-0_gamma4-02_dt0.1,34.49768333007834,13,409.21176616118834,-28.531389544344563,6,112.3500770792338,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
2025-05-18 19:53:19,output/results_v3/Mars/20250518T183148_SuperCritical_num261_alp10-0_gamma4-02_dt0.1,34.61133141819013,13,287.7445047657972,-28.18838531814398,5,50.9760365169572,51.23817308484687,13,0.0,-42.271224043557226,5,0.0
